Domínio,,,CÓDIGO,CRÉDITO,TURMA,DISCIPLINA,2,3,4,5,6,HORA,SALA,VAGAS 2021.2,PROFESSOR,,PERÍODIZAÇÃO
,,,DSG 1432,3,1AB,COMP. GRAF. E TEC. JOGOS ELET,,3,,,,07-10,T 04,12 DIG,Leonardo Cardarelli,,6 º para DIG
,,,DSG 1433,3,1AA,DESIGN DE JOGOS ,,3,,,,13-16,K 015,5 DIG/ 5 CDI/ 5 QQC,Guilherme Xavier,,5º/8º para DIG OPTATIVA
Tecnologias e Mídias Digitais ,,,DSG 1441,4,1AA,HIPERMÍDIA,,3,,5,,11-13,ART 3/VIRTUAL,20 DIG / 5 QQC ,Marcelo Pereira ,,6º para DIG
,,,DSG 1442,3,1AA,NARRATIVA EM MULTIMIDIA ,2,,,,,07-10,VIRTUAL,10 DIG/ 10 CDI,Rian Rezende,,5º/8º para DIG OPTATIVA
,,,DSG 1502,2,1AA,TENDÊNCIAS EM DESIGN DE MODA,,3,,,,11-13,VIRTUAL,20 MOD ,Priscila Andrade,,6º para MOD
,,,DSG 1503,3,1AA,COR NO DESIGN DE MODA,,3,,,,15-18,ART 4,15 CDI/10 QQC,Mateu Velasco,,3º para MOD
,,,DSG 1504,2,1AA,ERGONOMIA E VESTUARIO,,3,,,,09-11,VIRTUAL,20 CDI,Claudia Vianna,,4º para MOD
,,,DSG 1513,2,1AA,DESENHO TECNICO DE VESTUARIO,,,4,,,13-15,VIRTUAL,20 CDI,Claudia Vianna,,4º para MOD
,,,DSG 1515,2,1AA,TEC. DE COSTURA,,,,,6,11-13,LAB MOD,15 MOD/ 5 CDI,Walvyker Souza,,5º para MOD
,,,DSG 1516,3,1AA,DESENHO DE MODA aux por comp. - CAD,,,,5,,10-13,K 015 ,15 MOD ,Claudia Vianna ,,6º para MOD
,,,DSG 1517,3,1AA,DESIGN DE ESTAMPARIA ,,,,5,,13-16,K 017,17 MOD/ 3 QQC ,Isabel Martins,,5º para MOD
,,,DSG 1517,3,1AA,DESIGN DE ESTAMPARIA ,,,,5,,07-10,K 017,17 MOD/ 3 QQC ,Luiza Marcier,,
,,,DSG 1518,4,1AA,TECNOLOGIA TÊXTIL,,,,,6,07-11,ART 1,20 MOD,Gisela Pereira,,6º para MOD
,,,DSG 1531,2,1AA,HISTÓRIA DA INDUMENTÁRIA,,3,,,,09-11,VIRTUAL,13 MOD / 10 ACN/ 2 QQC,Silvia Helena ,,5º para MOD
,,,DSG 1532,2,1AA,HISTORIA DA MODA CONTEMPORÂNEA I,,,,,6,09-11,VIRTUAL,15 MOD/ 5 QQC,Daniela Oliveira,,7º para MOD
,,,DSG 1533,2,1AA,HISTORIA DA MODA CONTEMPORÂNEA II,,,,5,,07-09,VIRTUAL,15 CDI/ 5 QQC,Daniela Oliveira,,2º/3º/5º/6º/7º para CV e DIG - 2º/3º/4º/6º/8º para MOD - 2º/3º/4º/5º/7º para PP optativa historia da arte e do design
,,,DSG 1534,2,1AA,ANTROPOLOGIA DA MODA ,,,4,,,11-13,VIRTUAL,15 MOD/ 5 CDI/ 5 QQC,Silvia Helena ,,8º para MOD Optativa de design de moda 
,,,DSG 1535,2,1AA,DESENHO DE MODA,,,,5,,09-11,IAG 3,13 MOD/ 5 QQC/ 2 CDI,Gisela Pereira,,4º para MOD Optativas de desenho
,,,DSG 1536,2,1AA,ILUSTRAÇÃO DE MODA,,,,,6,11-13,IAG 3,13 MOD/ 5 QQC/ 2 CDI,Gisela Pereira,,4º para MOD 0ptativa de repres em design de moda 
Artes do Espetáculo,,,DSG 1537,2,1AA ,FIGURINO,,,,,6,11-13,ART 2,13 MOD/ 2 CDI/ 5 QQC,Silvia Helena ,,8º Optativa de design de moda 
