CODIGO,CR,TUR,DISCIPLINA,2,3,4,5,6,HORA,SALA,PROFESSOR
DSG1822,2,1AC,HISTORIA DO DESIGN BRASILEIRO,,,,,6,15-17,VIRTUAL,Flavia Nizia
DSG1801,2,1AC,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,,3,,,,13-15,L 658,Flavia Nizia 
DSG1811,2,1AE,ESTÚDIO: OLHAR INTRAMUROS,,,,5,,13-17,L 532,Flavia Nizia 
DSG1105,2,1AC,NOVAS TECNOLOGIAS,,,,5,,09-11,VIRTUAL,Flavio Carvalho
DSG1602,2,1AA,TENDÊNCIAS EM DESIGN DE PRODUTO,,,,5,,11-13,VIRTUAL,Flavio Carvalho
DSG1842,2,1AA,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,2,,4,,,11-13,K 015,Flavio Carvalho 
DSG1842,2,1AC,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,2,,4,,,15-17,K 015,Flavio Carvalho 
DSG1862,2,1AD,PRÁTICAS EXPERIMENTAIS II,,3,,,,11-13,K 015,Flavio Carvalho 
DSG1842,2,1AB,IMAGEM FOTOGRÁFICA E IMAGEM AUDIOVISUAL,2,,4,,,13-15,K 015,Flavio Carvalho                                       
DSG1812,2,1AD,ESTÚDIO: OLHAR EXTRAMUROS,,3,,,,13-17,L 232,Gabriela Gusmão
DSG1816,4,1AD,PROJETO: PROJETAR PARA  RESSIGNIFICAR A  PRÁTICA ,2,,4,,,10-13,L 658,Gabriela Gusmão
DSG1848,3,1AA,PLÁSTICA,2,,,,,15-18,L 232,Gabriela Gusmão
DSG1031,2,1AA,PROJETO ESPECIFICO CV,,3,,,,07-11,L 658,Gabriela Gusmão 
DSG1031,,1AA,PROJETO ESPECIFICO CV,,,,5,,07-13,L 658,Gabriela Gusmão 
DSG1613,2,1AA,REPRESENTAÇÃO EM VOLUME III,2,,,,,11-13,K 008 ,Gabriella Vaccari
DSG1637,3,1AA,LABORATORIO DA FORMA I,,3,,,,08-11,K 008,Gabriella Vaccari
DSG1987,2,1AA,PROTOTIPAGEM - DESIGN DE SERVIÇO,,,,,6,13-15,K 008,Gabriella Vaccari
DSG1062,3,1AA,PROJETO FINAL PP,,3,,,,07-11,F 100,Gabriella Vaccari 
DSG1062,,1AA,PROJETO FINAL PP,,,,,6,07-13,F 100,Gabriella Vaccari 
DSG1062,2,1AB,PROJETO FINAL PP,,3,,,,07-11,F 100,Gabriella Vaccari 
DSG1062,,1AB,PROJETO FINAL PP,,,,,6,07-13,F 100,Gabriella Vaccari 
