SUPERS,CODIGO,TURMA,CR,DISCIPLINA,2,3,4,5,6,INICIO,FINAL,SALA,VAGAS,PROFESSORES1,H1,PROFESSORES2,H2,PROFESSORES3,H3,PROFESSORES4,H4,PROFESSORES5,H5,PROFESSORES6,H6,PROFESSORES7,H7,PROFESSORES8,H8,PROFESSORES9,H9,PROFESSORES10,H10,PERIODO
Jorge Langone,DSG1801,1AD,2,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,15,ART3,18 CAL/2 QQC,DANIEL MALAGUTI CAMPOS,2,,,,,,,,,,,,,,,,,,,1o 
Jorge Langone,DSG1801,1AE,2,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,15,L328,18 CAL/2 QQC,GUILHERME DE ALMEIDA XAVIER,2,,,,,,,,,,,,,,,,,,,1o 
Jorge Langone,DSG1801,1AF,2,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,15,ART4,18 CAL/2 QQC,MIGUEL SANTOS DE CARVALHO,2,,,,,,,,,,,,,,,,,,,1o 
Jorge Langone,DSG1801,1AG,2,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,15,ART5,18 CAL/2 QQC,JORGE LANGONE,2,,,,,,,,,,,,,,,,,,,1o 
Jorge Langone,DSG1802,1AA,2,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,15,L120,20 ART,MONICA SABOIA SADDI,2,,1,,,,,,,,,,,,,,,,,2o
Jorge Langone,DSG1802,1AB,2,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,15,L328,21 ART,JOAO DE SA BONELLI,1,LUIZ EDUARDO DUTRA COELHO DA ROCHA,1,,,,,,,,,,,,,,,,,2o
Jorge Langone,DSG1802,1AC,2,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,15,ART3,21 ART,RENATA MATTOS EYER DE ARAUJO,1,LUIZ EDUARDO DUTRA COELHO DA ROCHA,1,,,,,,,,,,,,,,,,,2o
Jorge Langone,DSG1802,1AD,2,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,15,ART5,21 ART,HORISTA A CONTRATAR,2,,1,,,,,,,,,,,,,,,,,2o
Jorge Langone,DSG1803,1AA,2,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA,TRUE,FALSE,FALSE,FALSE,FALSE,13,15,ART2,24 ART,LUIS VICENTE BARROS CARDOSO DE MELO,1,PALESTRA,1,,,,,,,,,,,,,,,,,3o
Jorge Langone,DSG1803,1AB,2,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA,TRUE,FALSE,FALSE,FALSE,FALSE,13,15,ART5,24 ART,CARLOS ANDRE LAMEIRAO CORTES,1,PALESTRA,1,,,,,,,,,,,,,,,,,3o
