Dom. Ad.,EQUIV.,SUPERVISÃO,CODIGO,CR.,TUR,DISCIPLINA,2,3,4,5,6,HORA,SALA,VAGAS 2021.2,PROFESSOR,PERIODIZACAO
,,Kayat,DSG1632,2,1AA,SEMÂNTICA DO PRODUTO,2,,,,,09-11,VIRTUAL,20 EPP ,Vera Nojima ,7º para PP
,Ultimo semestre,Kayat,DSG1634,2,1AA,ECODESIGN,,,,5,,13-15,ART5,10 EPP / 5 QQC/ 5 CCI,Augusto Seibel,7º para PP
,,Kayat,DSG1635,2,1AA,ILUSTRAÇÃO DE PRODUTO,,,,,6,11-13,L 658,10 ART/ 10 QQC,Dedé Rocha,Optativa de desenho
,,Kayat,DSG1637,3,1AA,LABORATORIO DA FORMA I,,3,,,,08-11,LAMP K 008,10 ART/ 10 QQC,Gabriella Vaccari,6º PP optativa de design de produto
Animação,,João,DSG1717,2,1AA,TED XIV - DISTRIBUIÇÃO AUDIOVISUAL,2,,,,,09-11,VIRTUAL,10 ART/ 10 QQC,Claudia Bolshaw,Eletiva 
Animação,,João,DSG1718,2,1AA,NARRATIVAS AUDIOVISUAIS,,,,5,,08-10,VIRTUAL,10 ART/ 10 QQC,Rian Rezende,Eletiva 
,,Bebel,DSG1721,2,1AA,TED XXII CULTURA BRASILEIRA DA LIT INFANTO JUVENIL ,,,4,,,11-13,L 422,10 QQC/ 10 CCI,Luciana Grether,Eletiva 
,,Bebel,DSG1753,3,1AA,TED LIV - DIAGRAMAÇÃO E EDITORAÇÃO ELETRÔNICA ,,3,,,,10-13,VIRTUAL,10 ECV / 05 ART,Romulo Matteoni,Optativa Representação em CV
,,João,DSG1758,3,1AA,CRIAÇÃO E PRODUÇÃO DE IMAGEM EM MOVIMENTO,,,,5,,08-11,L 232,10 ART/ 10 QQC,Sanseverino,Eletiva 
,,João,DSG1782,4,1AA,TED LXXXIII - AQUARELAS LÍQUIDAS,2,,,,,13-17,ART 4,10 ART/ 10 QQC,Dedé Rocha ,Eletiva 
,,Jorge,DSG1801,2,1AA,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,,3,,,,13-15,L 532,20 CAL  ,Daniel Malaguti 2 Jorge Langone 0,1º
,,Jorge,DSG1801,2,1AB,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,,3,,,,13-15,ART 1,20 CAL ,Tatiana Carvalho 2 Jorge Langone 0,1º
,,Jorge,DSG1801,2,1AC,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,,3,,,,13-15,L 658,20 CAL ,Flavia Nizia 2 Jorge Langone 0,1º
,,Jorge,DSG1801,2,1AD,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,,3,,,,13-15,ART 3,27 ART/ 6 QQC ,Marcelo Pereira 1 Palestra 1 Jorge Langone 0,1º
,,Jorge,DSG1802,2,1AA,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS,,,,5,,13-15,ART 1,28 ART,Izabel Oliveira 1 Lula Rocha 1 Jorge Langone 0,2º
