SUPERS,CODIGO,TURMA,CR,DISCIPLINA,2,3,4,5,6,INICIO,FINAL,SALA,VAGAS,PROFESSORES1,H1,PROFESSORES2,H2,PROFESSORES3,H3,PROFESSORES4,H4,PROFESSORES5,H 5,PROFESSORES6,H6,PROFESSORES7,H7,PROFESSORES8,H8,PROFESSORES9,H9,PROFESSORES10,H10,PERIODO
Augusto Seibel,DSG1815,1AB,6,PROJETO: PROJETAR PARA CONCRETIZAR,FALSE,FALSE,TRUE,FALSE,FALSE,9,13,ART1,,,,,,,,,,,,,,,,,,,,,,
Augusto Seibel,DSG1815,1AC,6,PROJETO: PROJETAR PARA CONCRETIZAR,TRUE,FALSE,FALSE,FALSE,FALSE,11,13,ART2,14 ART,,,,,,,,,,,,,,,,,,,,,5o
Augusto Seibel,DSG1815,1AC,6,PROJETO: PROJETAR PARA CONCRETIZAR,FALSE,FALSE,TRUE,FALSE,FALSE,9,13,ART2,,,,,,,,,,,,,,,,,,,,,,
Augusto Seibel,DSG1815,1AD,6,PROJETO: PROJETAR PARA CONCRETIZAR,TRUE,FALSE,FALSE,FALSE,FALSE,11,13,ART2,15 ART,,,,,,,,,,,,,,,,,,,,,5o
Augusto Seibel,DSG1815,1AD,6,PROJETO: PROJETAR PARA CONCRETIZAR,FALSE,FALSE,TRUE,FALSE,FALSE,9,13,ART2,,,,,,,,,,,,,,,,,,,,,,
Augusto Seibel,DSG1815,1AE,6,PROJETO: PROJETAR PARA CONCRETIZAR,TRUE,FALSE,FALSE,FALSE,FALSE,11,13,ART3,14 ART,,,,,,,,,,,,,,,,,,,,,5o
Augusto Seibel,DSG1815,1AE,6,PROJETO: PROJETAR PARA CONCRETIZAR,FALSE,FALSE,TRUE,FALSE,FALSE,9,13,ART3,,,,,,,,,,,,,,,,,,,,,,
Augusto Seibel,DSG1815,1AF,6,PROJETO: PROJETAR PARA CONCRETIZAR,TRUE,FALSE,FALSE,FALSE,FALSE,11,13,ART3,15 ART,,,,,,,,,,,,,,,,,,,,,5o
Augusto Seibel,DSG1815,1AF,6,PROJETO: PROJETAR PARA CONCRETIZAR,FALSE,FALSE,TRUE,FALSE,FALSE,9,13,ART3,,,,,,,,,,,,,,,,,,,,,,
Luiza Marcier,DSG1816,1AA,6,PROJETO: PROJETAR PARA  RESSIGNIFICAR A  PRÁTICA,TRUE,FALSE,FALSE,FALSE,FALSE,11,13,L532,12 ART,,,,,,,,,,,,,,,,,,,,,6o
Luiza Marcier,DSG1816,1AA,6,PROJETO: PROJETAR PARA  RESSIGNIFICAR A  PRÁTICA,FALSE,FALSE,TRUE,FALSE,FALSE,9,13,L532,,,,,,,,,,,,,,,,,,,,,,6o
Luiza Marcier,DSG1816,1AB,6,PROJETO: PROJETAR PARA  RESSIGNIFICAR A  PRÁTICA,TRUE,FALSE,FALSE,FALSE,FALSE,11,13,L532,12 ART,,,,,,,,,,,,,,,,,,,,,
Luiza Marcier,DSG1816,1AB,6,PROJETO: PROJETAR PARA  RESSIGNIFICAR A  PRÁTICA,FALSE,FALSE,TRUE,FALSE,FALSE,9,13,L532,,,,,,,,,,,,,,,,,,,,,,
Luiza Marcier,DSG1821,1AA,2,HISTORIA E TEORIA DO DESIGN I,FALSE,TRUE,FALSE,FALSE,FALSE,15,17,ART2,18 CAL,IRINA ARAGAO DOS SANTOS,2,,,,,,,,,,,,,,,,,,,1o 
Luiza Marcier,DSG1821,1AB,2,HISTORIA E TEORIA DO DESIGN I,FALSE,TRUE,FALSE,FALSE,FALSE,11,13,SALA,18 CAL,LUIZA FERRO COSTA MARCIER,,,,,,,,,,,,,,,,,,,,1o 
Luiza Marcier,DSG1821,1AC,2,HISTÓRIA E TEORIA DO DESIGN I,TRUE,FALSE,FALSE,FALSE,FALSE,11,13,SALA,18 CAL,HORISTA A CONTRATAR,2,,,,,,,,,,,,,,,,,,,1o 
Luiza Marcier,DSG1821,1AD,2,HISTORIA E TEORIA DO DESIGN I,FALSE,TRUE,FALSE,FALSE,FALSE,15,17,SALA,18 CAL,FLAVIA NIZIA DA FONSECA RIBEIRO,2,,,,,,,,,,,,,,,,,,,1o 
Luiza Marcier,DSG1821,1AE,2,HISTORIA E TEORIA DO DESIGN I,FALSE,TRUE,FALSE,FALSE,FALSE,17,19,SALA,18 CAL,LUIZA FERRO COSTA MARCIER,2,,,,,,,,,,,,,,,,,,,1o 
Luiza Marcier,DSG1821,1AF,2,HISTORIA E TEORIA DO DESIGN I,FALSE,TRUE,FALSE,FALSE,FALSE,17,19,SALA,18 CAL,HORISTA A CONTRATAR,,,,,,,,,,,,,,,,,,,,1o 
Luiza Marcier,DSG1821,1AG,2,HISTORIA E TEORIA DO DESIGN I,FALSE,TRUE,FALSE,FALSE,FALSE,15,17,SALA,18 CAL,HORISTA A CONTRATAR,,,,,,,,,,,,,,,,,,,,1o 
Luiza Marcier,DSG1822,1AA,2,HISTORIA DO DESIGN BRASILEIRO,FALSE,FALSE,FALSE,FALSE,FALSE,__,__,SALA,,,,,,,,,,,,,,,,,,,,,,2o
Luiza Marcier,DSG1823,1AA,2,HISTÓRIA E TEORIA DO DESIGN II,FALSE,FALSE,FALSE,FALSE,FALSE,__,__,SALA,,,,,,,,,,,,,,,,,,,,,,3o
Luiza Marcier,DSG1824,1AA,2,TEORIA DO OBJETO,FALSE,FALSE,FALSE,FALSE,TRUE,9,11,VIRTUAL,22 ART,JOAO VICTOR AZEVEDO DE MENEZES CORREIA DE MELO,,,,,,,,,,,,,,,,,,,,5o
Luiza Marcier,DSG1824,1AB,2,TEORIA DO OBJETO,FALSE,FALSE,FALSE,FALSE,TRUE,9,11,VIRTUAL,22 ART,IRINA ARAGAO DOS SANTOS,,,,,,,,,,,,,,,,,,,,5o
