lat,long,horario
-22.940417446698522,-43.19693059387581,12:31:8
-22.940310996254155,-43.196801643435116,12:31:12
-22.94019830183864,-43.19666247446285,12:31:16
-22.94011440171903,-43.19655922631763,12:31:20
-22.940107808791073,-43.19655109099886,12:31:25
-22.940086541212263,-43.19652484774213,12:31:29
-22.94002336241474,-43.19644688803958,12:31:33
-22.939959064533465,-43.196367547362634,12:31:37
-22.939952854127405,-43.19635988398965,12:31:41
-22.939952854125508,-43.19635988399147,12:31:45
-22.939952854150512,-43.196359883967936,12:31:49
-22.93994303292198,-43.19634776507363,12:31:53
-22.93990723695173,-43.19630359441676,12:31:57
-22.9399068611904,-43.196303130817206,12:32:1
-22.9399068612292,-43.1963031307806,12:32:5
-22.93990686122675,-43.19630313078287,12:32:9
-22.939906861200072,-43.19630313080811,12:32:13
-22.939906861203646,-43.1963031308047,12:32:17
-22.93988441562349,-43.19627543418431,12:32:21
-22.939762974882246,-43.196191710407525,12:32:26
-22.939610275381348,-43.196140459679526,12:32:30
-22.93952386595818,-43.196131280428055,12:32:34
-22.939484703574085,-43.19612708038351,12:32:38
-22.9393660706011,-43.196112838767945,12:32:42
-22.93918381081405,-43.19606523473032,12:32:46
-22.938963883333333,-43.19602526666666,12:32:50
-22.938715228562277,-43.195943163972714,12:32:54
-22.938471383333333,-43.19584221666668,12:32:58
-22.93826721666667,-43.195623049999995,12:33:2
-22.938211099999997,-43.195246100000006,12:33:6
-22.93831526666667,-43.194935,12:33:10
-22.938428050000002,-43.19464776666667,12:33:14
-22.938507216666668,-43.19443416666666,12:33:18
-22.9385686,-43.19425304999999,12:33:22
-22.938618049999995,-43.19408165,12:33:27
-22.938622499999994,-43.19405664999999,12:33:31
-22.938622499999994,-43.19405664999999,12:33:35
-22.938622499999994,-43.19405664999999,12:33:39
-22.938622499999994,-43.19405664999999,12:33:43
-22.938622499999994,-43.19405664999999,12:33:47
-22.938622499999994,-43.19405664999999,12:33:51
-22.938622499999994,-43.19405664999999,12:33:55
-22.938622499999994,-43.19405664999999,12:33:59
-22.938622499999994,-43.19405664999999,12:34:3
-22.938622499999994,-43.19405664999999,12:34:7
-22.938625816666665,-43.19403081666666,12:34:11
-22.938640833333338,-43.193821099999994,12:34:15
-22.938655266666668,-43.19361193333334,12:34:19
-22.93865,-43.193571649999996,12:34:23
-22.938644149999995,-43.19353888333334,12:34:28
-22.93864748333333,-43.19349083333333,12:34:32
-22.938640833333338,-43.193455549999996,12:34:36
-22.938640833333338,-43.193455549999996,12:34:40
-22.938640833333338,-43.193455549999996,12:34:44
-22.938640833333338,-43.193455549999996,12:34:48
-22.938640833333338,-43.193455549999996,12:34:52
-22.938640833333338,-43.193455549999996,12:34:56
-22.938640833333338,-43.193455549999996,12:35:0
-22.938640833333338,-43.193455549999996,12:35:4
-22.938640833333338,-43.193455549999996,12:35:8
-22.938640266666667,-43.19345331666667,12:35:12
-22.938627766666666,-43.19338415000001,12:35:16
-22.938610000000004,-43.19327526666666,12:35:20
-22.93859305,-43.193169149999996,12:35:24
-22.938583333333337,-43.193065833333335,12:35:29
-22.93857888333334,-43.193001100000004,12:35:33
-22.93857805,-43.19298776666666,12:35:37
-22.93857805,-43.19298776666666,12:35:41
-22.93857805,-43.19298776666666,12:35:45
-22.93857805,-43.19298776666666,12:35:49
-22.938576933333337,-43.19295971666667,12:35:53
-22.9385761,-43.19286555,12:35:57
-22.938589716666666,-43.19273638333334,12:36:1
-22.938585833333335,-43.192629149999995,12:36:5
-22.938583883333333,-43.192573333333335,12:36:9
-22.93856583333334,-43.192516933333344,12:36:13
-22.938561933333336,-43.192469166666655,12:36:17
-22.938560550000002,-43.192452216666666,12:36:21
-22.9385561,-43.192395833333336,12:36:25
-22.9385561,-43.19239498333333,12:36:30
-22.938553050000007,-43.19234998333334,12:36:34
-22.938517499999996,-43.19219526666668,12:36:38
-22.938488050000004,-43.19202693333334,12:36:42
-22.93848248333334,-43.191958883333335,12:36:46
-22.938481666666668,-43.19195138333333,12:36:50
-22.938481666666668,-43.19195138333333,12:36:54
-22.938481666666668,-43.19195138333333,12:36:58
-22.938481666666668,-43.19195138333333,12:37:2
-22.938481666666668,-43.19195138333333,12:37:6
-22.938481666666668,-43.19195138333333,12:37:10
-22.938481666666668,-43.19195138333333,12:37:14
-22.938481666666668,-43.191951100000004,12:37:18
-22.93846055,-43.1918686,12:37:22
-22.938437766666667,-43.191708883333334,12:37:26
-22.93849526666667,-43.19161943333334,12:37:31
-22.938725266666665,-43.191617216666664,12:37:35
-22.939068883333334,-43.19162,12:37:39
-22.93941860381659,-43.191605533785044,12:37:43
-22.939775549999997,-43.19162665,12:37:47
-22.940117216666668,-43.191624166666664,12:37:51
-22.940429660189736,-43.191685257854346,12:37:55
-22.940729983333334,-43.19173193333332,12:37:59
-22.94100166666666,-43.19167748333332,12:38:3
-22.941256807202397,-43.19165125137684,12:38:7
-22.94152081666667,-43.19167638333333,12:38:11
-22.941594740922696,-43.19165935649084,12:38:15
-22.941626158770944,-43.19166040082005,12:38:19
-22.94162750498393,-43.19166044556653,12:38:23
-22.941626180306447,-43.191660401533696,12:38:27
-22.941615549999998,-43.19179831666666,12:38:32
-22.94161166666667,-43.19184138333333,12:38:36
-22.94161166666667,-43.19184138333333,12:38:40
-22.94161166666667,-43.19184138333333,12:38:44

